dining room,vase,wall,far from,
dining room,vase,ceiling,below,
dining room,vase,floor,above,
dining room,table,wall,far from,
dining room,table,ceiling,below,
dining room,table,floor,on,
dining room,table,vase,underneath,
dining room,chandelier,wall,far from,
dining room,chandelier,ceiling,on,
dining room,chandelier,floor,above,
dining room,chandelier,vase,above,
dining room,chandelier,table,above,
dining room,chair,wall,far from,
dining room,chair,ceiling,below,
dining room,chair,floor,on,
dining room,chair,vase,far from,
dining room,chair,table,infront of,
dining room,chair,chandelier,far from,
dining room,plant,wall,infront of,
dining room,plant,ceiling,below,
dining room,plant,floor,above,on
dining room,plant,vase,far from,inside
dining room,plant,table,far from,above
dining room,plant,chandelier,far from,below
dining room,plant,chair,far from,
dining room,flower pot,wall,infront of,
dining room,flower pot,ceiling,below,
dining room,flower pot,floor,on,
dining room,flower pot,vase,far from,
dining room,flower pot,table,far from,
dining room,flower pot,chandelier,far from,below
dining room,flower pot,chair,far from,
dining room,flower pot,plant,contains,
dining room,picture,wall,on,
dining room,picture,ceiling,below,
dining room,picture,floor,above,
dining room,picture,vase,far from,
dining room,picture,table,far from,
dining room,picture,chandelier,far from,
dining room,picture,chair,far from,
dining room,picture,plant,far from,
dining room,picture,flower pot,far from,
dining room,window,wall,on,inside
dining room,window,ceiling,below,
dining room,window,floor,above,
dining room,window,vase,far from,
dining room,window,table,far from,
dining room,window,chandelier,far from,
dining room,window,chair,far from,
dining room,window,plant,far from,
dining room,window,flower pot,far from,
dining room,window,picture,far from,
dining room,person,wall,infront of,
dining room,person,ceiling,below,
dining room,person,floor,on,
dining room,person,vase,far from,
dining room,person,table,far from,
dining room,person,chandelier,far from,below
dining room,person,chair,behind,
dining room,person,plant,far from,
dining room,person,flower pot,far from,
dining room,person,picture,far from,
dining room,person,window,far from,